Clé;Valeur;
1;Fichier null;
2;Fichier inexistant;
3;Fichier répertoire;
4;Fichier vide;
5;Fichier non textuel;
7;Transcodage en UTF-8 impossible;
8;Mauvais encodage en UTF-8;
9;Type du fichier (HIT, DARWIN, ..) indétectable;
10;Doublons de lignes dans fichier;
11;Ligne vide dans fichier;
12;Ligne sans Localisations;
13;Champ non renseigné;
14;Mauvais format de champ;
15;Champ hors nomenclature;
16;Champ ne respectant pas une RegEx;
;17;Fichier non encodé intégralement en UTF-8;
;;
31;Présence d'une Ligne non encodée en UTF-8;
32;Présence d'un Caractère non encodé en pCharset;
33;Ligne non encodée en ANSI;
34;Ligne non encodée en IBM-850;
;;
40;Caractère non textuel;
41;Présence d'un BOM-UTF-8;
42;Fichier en entrée encodé totalement en ANSI;
43;Nouveau Fichier créé en ANSI;
44;Nouveau Fichier créé en UTF-8;
;;
;;
;;
100;FileNotFoundException;
101;IOException;
102;SecurityException;
